,,TOOL STORE STOCK INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379,,5293,,,,,,,,,,11/01/2024,,,,12/01/2024,,,,01/01/2025,,,,02/01/2025,,,,03/01/2025,,,,04/01/2025,,,,05/01/2025,,,,06/01/2025,,,,07/01/2025,,,,08/01/2025,,,,09/01/2025,,,,10/01/2025,,,,11/01/2025,,,,12/01/2025,,,,01/01/2026,,,,02/01/2026,,,,,03/01/2026,,,
,S.No.,"M/C 
Name","Part
Size","Pitch
(mm)",Wire Dia,Part Name,,,,,,,,,,,,,,,,,,STN,Tool Family Code,Tool Description,Tool Code,Marking,A/F,"Length
(mm) ",I/D (mm),,O/D (mm),,"Carbide Dia
(mm)","Pointing Length 
(mm)",,"Depth
(mm)","Tool
Mtrl.",Assumed Life,Actual Life,Rng Stock,"Location 
(RaN-RoN-BN)",Spare Stock,"Location 
(RaN-RoN-BN)",Min. Qty.,Max. Qty.,Total Prod. Plan Qty.,Forgb. Qty.,Reqd. Qty.,Last Physical Stock Checked On,Remarks,,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock
,,,,,,HHB,HHS,SHCB,SHCS,HFB,HFS,FLG,SHFS,SHFB,TRXS,AXB,BHCS,DDB,SQB,THS,NIB,PINS,SSS,,,,,,,,FRONT,BACK,FRONT,BACK,,FRONT,BACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TK250,M6,1,5.2,,,,,,,,,,,,,,,a,,,,1,001,Sliding Punch Case,,,,,,,,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,64S,M6,1,,,,,,,a,,,,,,,,,,,,,1,001,Sliding Punch Case,T.01.0.001.008/00,,,86,32.1,25,39.97,,,,,28,,,,1,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,CH5L,M5,0.8,4.3,,,,,,,,,,,,,,,a,,,,2,001,Heading Punch Case,,,,54,18,8,25,,,,,,,,,1,,6,TSL-C-01,1,2,,,,,,,,,,,,,,,0,0,0,0,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,,6,0,0,6
,,TK250,M6,1,5.2,,,,,,,,,,,,,,,a,,,,2,001,Heading Punch Case,,,,102,26,12,45,,,,,35,,,,6,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,64S,M6,1,,,a,,,,,,,,,,,,,,,,,3,001,Heading Insert Punch Case,,,,82,20,18,40,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,6L4S,M10,1.5,,a,,,,,,,,,,,,,,,,,,3,001,Heading Insert Punch Case,T.03.0.001.003/02,,,95,35,15,60,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,6L4S,M10,1.5,,,a,,,,,,,,,,,,,,,,,3,001,Heading Insert Punch Case,T.03.0.001.003/02,,,100.5,30,18,60,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,84S,M8,1.25,,a,a,a,a,,,,,,,,,,a,,,,,3,001,Heading Insert Punch Case,T.02.0.001.002/00,,,115,25,14,45,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,84S,M8,1.25,,,a,,,,,,,,,,,,,,,,,3,001,Heading Insert Punch Case,,,,110,25,25,45,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,164S,M10,1.25,,,,,,,,a,,,,,,,,,,,,3,001,Heading Insert Punch Case,T.04.1.001.003/00,,,,,,,,,,,,,,2000000,1,TSR-07-B,2,,1,2,200000,4000000,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,2,0,0,2,,2,0,0,2
,,164S,,,,,,,,,,,,,,,,,,,,,,,001,Heading Insert Punch Case,,,,,,,,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,164S,,,,,,,,,,,,,,,,,,,,,,,001,Heading Insert Punch Case,,,,,,,,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,254LL,"M18,M20,M22",2.5,,a,a,,,,,,,,,,,,,,,,,2,001,Heading Insert Punch Case,T.05.0.001.007/00,,,,,,,,,,,,,,,1,TSR-09-D,0,TSR-09-D,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,254LL,"M24, M27",3,,a,a,,,,,,,,,,,,,,,,,2,001,Heading Insert Punch Case,T.05.0.001.003/00,,,265,64,24,110,120,,,,,,,,1,TSR-08-D,1,TSR-08-D,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,1,0,0,1
,,64S,M6,1,,a,a,,,,,,,,,,,,,,,,,3,001,Over Hang Punch Case,T.01.0.001.003/00,,,,,,,,,,,,,,,1,TSR-01-A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,0,0,
,,84S,M8,1.25,,a,a,,,,,,,,,,,,a,,,,,3,001,Over Hang Punch Case,T.02.0.001.004/00,,,88,25,35,45,,,,,38,,,,2,,0,TSL-A-03,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,6L4S,"3/8""",UNC,,a,,,,,,,,,,,,,,,,,,3,001,Over Hang Punch Case,T.03.0.081.002/00,,,73,35,45,60,,,,,,,,,1,TSR-03-D,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,164S,M12,,,,,,,,,,,,,,,,,,,,,3,001,Over Hang Punch Case,,,,,,,,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,164S,M14,,,,,,,,,,,,,,,,,,,,,3,001,Over Hang Punch Case,,,,,,,,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,254LL,"M18,M20,M22, M24, M27","2.5, 3",,a,,,,,,,,,,,,,,,,,,3,001,Over Hang Punch Case,T.05.0.001.001/00,,,,,,,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,254LL,"M18,M20,M22, M24, M27","2.5, 3",,,a,,,,,,,,,,,,,,,,,3,001,Over Hang Punch Case,T.05.0.001.005/00,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,0,0,
,,64S,M6,1,,,,a,a,,,,,,,,,,,,,,,3,001,Hex Pin Punch Case,,,,,,,,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,6L4S,M10,1.5,,,,,a,,,,,,,,,,,,,,,3,001,Hex Pin Punch Case,T.03.0.001.007/00,,,98,30,25,60,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,164S,,,,,,a,a,,,,,,,,,,,,,,,3,001,Hex Pin Punch Case,,,,,,,,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
